               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10964,            0.039257,             0.04689,            0.005422,             0.26599,             0.01826,            0.004048,            0.086834,            0.035313,             0.03565,              0.0748,              0.0028,              0.0028
                   1,            0.085968,            0.039998,            0.032323,             0.26259,             0.29595,             0.05763,            0.021313,             0.08709,            0.029912,            0.025139,            0.048644,           0.0056436,           0.0056436
                   2,            0.078617,            0.034368,            0.023455,             0.07547,             0.27515,             0.06904,            0.013564,            0.090034,            0.023735,            0.017189,             0.02243,           0.0084297,           0.0084297
                   3,            0.077252,            0.028146,            0.017608,              0.2987,             0.74466,             0.47203,             0.15206,            0.068803,             0.02081,            0.013595,            0.009703,            0.009703,            0.009703
                   4,            0.071493,            0.024177,             0.01427,             0.42542,             0.54384,             0.37361,             0.11619,            0.066754,            0.018996,           0.0087561,            0.009703,            0.009703,            0.009703
                   5,            0.066223,            0.022305,             0.01041,             0.41079,             0.90771,             0.57121,             0.15114,            0.069385,            0.016911,           0.0061492,            0.009604,            0.009604,            0.009604
                   6,            0.059028,             0.02084,           0.0086906,             0.41022,             0.88958,             0.52366,             0.18978,            0.057659,            0.014983,            0.004865,            0.009505,            0.009505,            0.009505
                   7,            0.054324,            0.019507,           0.0077073,             0.66842,             0.87305,             0.82236,             0.37613,            0.043254,            0.013729,           0.0048629,            0.009406,            0.009406,            0.009406
                   8,            0.052259,            0.018278,           0.0064407,             0.62082,             0.95099,             0.68892,             0.29563,             0.04421,            0.013052,           0.0040715,            0.009307,            0.009307,            0.009307
                   9,            0.049247,            0.018672,           0.0054066,             0.54366,             0.97373,             0.78323,             0.36148,            0.044994,            0.012867,           0.0037951,            0.009208,            0.009208,            0.009208
                  10,            0.044975,            0.017401,           0.0050852,             0.88973,             0.95626,             0.93902,             0.45799,            0.035762,            0.012189,           0.0036533,            0.009109,            0.009109,            0.009109
                  11,            0.045233,            0.017027,           0.0048521,             0.81451,             0.96349,             0.90213,             0.38226,            0.044396,            0.012245,           0.0035953,             0.00901,             0.00901,             0.00901
                  12,            0.044037,            0.016046,           0.0043737,             0.83539,             0.97207,             0.91923,             0.44758,            0.036402,            0.011382,           0.0031065,            0.008911,            0.008911,            0.008911
                  13,            0.041491,            0.016824,           0.0039358,             0.69134,             0.98776,             0.85896,             0.41985,            0.036837,            0.011945,            0.003144,            0.008812,            0.008812,            0.008812
                  14,            0.039777,            0.015897,           0.0040386,             0.99499,             0.99266,             0.99459,              0.5636,            0.031177,            0.011227,           0.0031203,            0.008713,            0.008713,            0.008713
                  15,            0.039234,            0.016083,           0.0035754,             0.88721,             0.99261,             0.93458,             0.46158,            0.034287,            0.011189,           0.0028934,            0.008614,            0.008614,            0.008614
                  16,            0.038763,            0.015367,           0.0037755,             0.99039,             0.99516,             0.99451,             0.54121,            0.032838,             0.01117,           0.0027793,            0.008515,            0.008515,            0.008515
                  17,            0.037409,            0.015226,           0.0035373,             0.95557,             0.95794,             0.95977,             0.44131,            0.034716,            0.011105,           0.0026097,            0.008416,            0.008416,            0.008416
                  18,            0.037296,            0.014856,           0.0031435,             0.95258,             0.99699,             0.97479,              0.5318,            0.032909,            0.011027,           0.0026627,            0.008317,            0.008317,            0.008317
                  19,            0.036503,            0.014945,           0.0034104,              0.9805,             0.98755,             0.98096,             0.50247,            0.033119,            0.011052,           0.0029441,            0.008218,            0.008218,            0.008218
                  20,            0.036575,            0.015042,            0.003263,             0.98623,             0.99657,             0.99424,             0.56438,            0.029622,            0.010754,           0.0021946,            0.008119,            0.008119,            0.008119
                  21,            0.036211,            0.015024,           0.0026639,             0.98943,             0.99239,             0.99259,             0.55797,            0.031783,            0.010971,           0.0022599,             0.00802,             0.00802,             0.00802
                  22,            0.034574,            0.014432,           0.0027212,             0.98314,             0.99699,             0.99442,             0.58083,            0.028965,            0.010472,           0.0023787,            0.007921,            0.007921,            0.007921
                  23,            0.034861,            0.014984,           0.0028429,             0.99261,             0.99538,             0.99201,             0.60297,             0.02919,             0.01046,           0.0024175,            0.007822,            0.007822,            0.007822
                  24,             0.03383,             0.01535,           0.0026703,             0.99292,              0.9985,              0.9943,             0.59847,            0.027785,            0.010404,           0.0021196,            0.007723,            0.007723,            0.007723
                  25,            0.033059,            0.014694,           0.0023043,             0.99544,                   1,             0.99478,             0.62198,            0.025956,            0.010359,           0.0019843,            0.007624,            0.007624,            0.007624
                  26,            0.032396,            0.014894,            0.002364,             0.99512,             0.99774,             0.99475,             0.60825,            0.027411,            0.010259,           0.0020391,            0.007525,            0.007525,            0.007525
                  27,            0.032407,            0.014033,           0.0025654,               0.997,             0.99831,             0.99469,             0.55644,            0.029344,             0.01071,           0.0021186,            0.007426,            0.007426,            0.007426
                  28,            0.031967,            0.014237,           0.0025265,             0.99541,             0.99719,             0.99432,             0.63786,            0.026504,            0.010653,           0.0018893,            0.007327,            0.007327,            0.007327
                  29,            0.031441,            0.014085,           0.0021846,             0.99655,              0.9987,              0.9944,             0.64167,            0.025311,            0.010307,           0.0019304,            0.007228,            0.007228,            0.007228
                  30,            0.030928,            0.013987,           0.0022495,             0.99528,             0.99521,             0.99437,             0.64386,            0.025208,            0.010161,           0.0020746,            0.007129,            0.007129,            0.007129
                  31,            0.030577,             0.01406,           0.0023305,             0.98441,             0.98813,             0.98226,             0.52704,            0.030298,            0.010397,           0.0019266,             0.00703,             0.00703,             0.00703
                  32,            0.030965,            0.013872,           0.0021867,             0.99471,             0.99837,             0.99418,             0.59121,            0.026721,            0.010181,           0.0019169,            0.006931,            0.006931,            0.006931
                  33,            0.029696,            0.013916,           0.0021262,             0.99355,             0.99955,             0.99431,             0.59869,            0.026998,            0.010165,           0.0018376,            0.006832,            0.006832,            0.006832
                  34,            0.029178,            0.013854,           0.0019207,             0.99661,             0.99988,             0.99415,              0.6086,            0.028146,            0.010089,           0.0017178,            0.006733,            0.006733,            0.006733
                  35,            0.029974,            0.013738,            0.002025,             0.98966,             0.99652,             0.99234,             0.60179,            0.026178,           0.0099896,           0.0019128,            0.006634,            0.006634,            0.006634
                  36,            0.028833,            0.013696,           0.0022982,             0.99323,             0.99957,             0.99445,             0.63236,             0.02508,           0.0099224,           0.0019187,            0.006535,            0.006535,            0.006535
                  37,            0.028509,            0.013404,           0.0019497,             0.99392,                   1,             0.99448,             0.63609,            0.024228,            0.010039,           0.0016323,            0.006436,            0.006436,            0.006436
                  38,            0.028546,            0.013706,           0.0017734,             0.99434,             0.99669,             0.99442,             0.66806,            0.023457,           0.0098689,           0.0015664,            0.006337,            0.006337,            0.006337
                  39,             0.02809,             0.01334,           0.0021068,             0.99393,             0.99978,             0.99443,              0.6227,            0.026307,            0.010261,           0.0017166,            0.006238,            0.006238,            0.006238
                  40,            0.027822,            0.013253,            0.001985,              0.9959,                   1,             0.99411,             0.64639,             0.02354,           0.0098813,           0.0016075,            0.006139,            0.006139,            0.006139
                  41,            0.027629,            0.012958,           0.0017245,             0.99571,             0.99943,             0.99428,             0.64227,            0.024157,           0.0098306,           0.0013907,             0.00604,             0.00604,             0.00604
                  42,            0.027002,            0.013734,           0.0017696,              0.9961,             0.99981,             0.99415,             0.65969,            0.023821,           0.0098078,           0.0014674,            0.005941,            0.005941,            0.005941
                  43,            0.027368,            0.014452,           0.0020358,             0.99613,                   1,             0.99415,             0.66756,            0.023959,           0.0097301,           0.0016147,            0.005842,            0.005842,            0.005842
                  44,            0.026885,            0.013244,           0.0018847,             0.99585,             0.99964,             0.99418,             0.62394,            0.024348,           0.0098213,           0.0015097,            0.005743,            0.005743,            0.005743
                  45,            0.026961,            0.013935,           0.0017038,             0.99683,             0.99907,             0.99431,             0.64834,             0.02383,            0.009678,           0.0013826,            0.005644,            0.005644,            0.005644
                  46,             0.02633,            0.013692,           0.0015584,             0.99664,             0.99939,             0.99423,             0.66581,             0.02234,           0.0095188,           0.0013001,            0.005545,            0.005545,            0.005545
                  47,            0.025849,            0.013048,           0.0015082,             0.99329,             0.99652,             0.99264,             0.64333,            0.024025,           0.0096926,           0.0012324,            0.005446,            0.005446,            0.005446
                  48,            0.026582,            0.012915,           0.0017109,             0.99606,              0.9991,             0.99415,             0.65554,              0.0243,           0.0096155,           0.0012334,            0.005347,            0.005347,            0.005347
                  49,            0.025796,             0.01344,           0.0015829,             0.99629,             0.99955,             0.99426,             0.63976,            0.022936,           0.0094673,           0.0012618,            0.005248,            0.005248,            0.005248
                  50,            0.025384,            0.012386,           0.0013279,             0.99726,             0.99898,             0.99415,             0.67564,            0.024102,           0.0095587,           0.0011541,            0.005149,            0.005149,            0.005149
                  51,            0.025875,            0.013609,           0.0013728,             0.99724,             0.99972,             0.99405,             0.65865,            0.023193,           0.0095762,           0.0011634,             0.00505,             0.00505,             0.00505
                  52,            0.025137,            0.013316,           0.0013667,             0.99683,             0.99948,             0.99409,             0.67341,            0.022461,           0.0097792,           0.0011842,            0.004951,            0.004951,            0.004951
                  53,            0.024759,            0.013163,           0.0015446,             0.99694,             0.99929,             0.99431,             0.69961,            0.021385,           0.0093664,           0.0012652,            0.004852,            0.004852,            0.004852
                  54,            0.024534,            0.012784,           0.0015065,             0.99456,             0.99954,             0.99415,             0.66684,            0.022565,           0.0094368,           0.0011776,            0.004753,            0.004753,            0.004753
                  55,            0.024698,             0.01264,           0.0013337,              0.9973,             0.99976,             0.99405,             0.66664,            0.022683,           0.0095511,           0.0011712,            0.004654,            0.004654,            0.004654
                  56,            0.024723,            0.012944,           0.0014384,             0.99744,             0.99973,             0.99406,             0.69023,            0.021525,           0.0093893,           0.0011661,            0.004555,            0.004555,            0.004555
                  57,            0.024766,            0.012819,            0.001349,             0.99725,                   1,             0.99408,             0.68422,            0.021748,           0.0095942,           0.0010979,            0.004456,            0.004456,            0.004456
                  58,            0.024158,            0.012516,           0.0013159,              0.9971,             0.99981,             0.99409,             0.69322,            0.021598,           0.0095351,           0.0010424,            0.004357,            0.004357,            0.004357
                  59,            0.024054,            0.012329,           0.0013064,             0.99673,                   1,             0.99405,             0.68894,            0.021578,           0.0094257,           0.0011077,            0.004258,            0.004258,            0.004258
                  60,            0.024423,            0.013401,           0.0012619,             0.99664,             0.99987,             0.99405,             0.69476,            0.021711,           0.0095017,           0.0010869,            0.004159,            0.004159,            0.004159
                  61,            0.023514,            0.012664,           0.0013357,             0.99403,             0.99593,             0.99218,             0.68693,            0.021708,           0.0095257,           0.0010569,             0.00406,             0.00406,             0.00406
                  62,             0.02257,            0.012496,           0.0011497,             0.99618,             0.99994,             0.99405,             0.70883,            0.020443,           0.0094031,          0.00097821,            0.003961,            0.003961,            0.003961
                  63,            0.023272,            0.012517,           0.0011242,             0.99676,             0.99974,             0.99405,             0.70273,            0.020727,           0.0093361,           0.0010003,            0.003862,            0.003862,            0.003862
                  64,            0.023436,            0.012273,           0.0012064,             0.99697,             0.99919,             0.99405,             0.70978,            0.020758,           0.0093918,          0.00098599,            0.003763,            0.003763,            0.003763
                  65,            0.023277,            0.012717,             0.00106,              0.9971,                   1,             0.99405,              0.6949,            0.020868,           0.0094251,          0.00096851,            0.003664,            0.003664,            0.003664
                  66,            0.022855,            0.012507,           0.0011412,             0.99701,                   1,             0.99405,             0.69894,            0.021122,           0.0092868,          0.00091303,            0.003565,            0.003565,            0.003565
                  67,            0.022711,            0.012427,            0.001081,             0.99622,                   1,             0.99405,             0.69409,            0.021615,            0.009369,          0.00088822,            0.003466,            0.003466,            0.003466
                  68,            0.023091,            0.012137,           0.0011987,             0.99621,                   1,             0.99405,             0.70103,            0.020534,           0.0091291,          0.00088752,            0.003367,            0.003367,            0.003367
                  69,            0.022249,            0.012508,           0.0011381,             0.99614,             0.99986,             0.99405,             0.71467,            0.020249,           0.0092191,           0.0008511,            0.003268,            0.003268,            0.003268
                  70,            0.022149,            0.012477,           0.0011113,             0.99624,                   1,             0.99405,             0.68789,            0.020986,           0.0091925,          0.00081007,            0.003169,            0.003169,            0.003169
                  71,            0.022278,            0.012468,           0.0010551,             0.99603,             0.99973,             0.99405,              0.7133,            0.020908,            0.009291,          0.00081696,             0.00307,             0.00307,             0.00307
                  72,            0.021833,            0.012294,           0.0011676,             0.99626,             0.99918,             0.99405,             0.71627,            0.020179,           0.0092201,          0.00082874,            0.002971,            0.002971,            0.002971
                  73,            0.021115,            0.011935,           0.0010453,             0.99606,             0.99969,             0.99405,             0.70864,            0.020504,           0.0091693,          0.00076712,            0.002872,            0.002872,            0.002872
                  74,            0.021858,             0.01205,           0.0010273,             0.99617,             0.99978,             0.99405,             0.71552,             0.02012,            0.009163,           0.0007528,            0.002773,            0.002773,            0.002773
                  75,            0.021302,            0.012425,          0.00096722,             0.99658,             0.99988,             0.99405,             0.71109,            0.020425,            0.009152,          0.00070211,            0.002674,            0.002674,            0.002674
                  76,            0.021528,            0.012289,            0.001115,             0.99625,                   1,             0.99405,             0.70466,            0.020851,           0.0091107,          0.00070349,            0.002575,            0.002575,            0.002575
                  77,            0.021445,            0.012237,          0.00091912,             0.99655,                   1,             0.99405,             0.71827,             0.01947,            0.009003,          0.00069829,            0.002476,            0.002476,            0.002476
                  78,             0.02091,            0.012216,          0.00085249,             0.99703,             0.99949,             0.99405,              0.7163,            0.020107,           0.0091131,          0.00066623,            0.002377,            0.002377,            0.002377
                  79,            0.020761,            0.012144,          0.00091726,             0.99674,             0.99976,             0.99405,             0.70826,            0.020069,           0.0091118,          0.00063425,            0.002278,            0.002278,            0.002278
                  80,            0.020298,            0.012379,          0.00090785,             0.99659,             0.99997,             0.99405,              0.7068,             0.01981,           0.0092047,          0.00062249,            0.002179,            0.002179,            0.002179
                  81,            0.020391,            0.012091,          0.00082831,             0.99604,             0.99973,             0.99405,             0.71348,            0.019869,           0.0090428,          0.00062428,             0.00208,             0.00208,             0.00208
                  82,            0.020781,            0.011866,          0.00085208,             0.99605,                   1,             0.99405,             0.70852,            0.019851,           0.0089695,          0.00060917,            0.001981,            0.001981,            0.001981
                  83,             0.02077,            0.012139,          0.00078398,               0.996,             0.99957,             0.99405,             0.71633,            0.019807,           0.0089965,          0.00059703,            0.001882,            0.001882,            0.001882
                  84,            0.019899,            0.012273,          0.00075398,             0.99584,             0.99938,             0.99405,             0.71135,            0.019776,           0.0090349,          0.00058486,            0.001783,            0.001783,            0.001783
                  85,            0.019924,            0.011592,          0.00071033,             0.99611,             0.99922,             0.99405,             0.71434,            0.019861,           0.0090682,          0.00056222,            0.001684,            0.001684,            0.001684
                  86,            0.020392,            0.012197,          0.00074067,             0.99615,             0.99947,             0.99405,             0.71826,            0.019935,           0.0090487,          0.00053725,            0.001585,            0.001585,            0.001585
                  87,            0.019907,            0.011972,          0.00080011,             0.99592,              0.9997,             0.99411,             0.71825,            0.019804,            0.008994,          0.00053577,            0.001486,            0.001486,            0.001486
                  88,            0.019625,            0.012086,          0.00064625,             0.99554,             0.99958,             0.99422,             0.72811,            0.019472,           0.0089314,          0.00053045,            0.001387,            0.001387,            0.001387
                  89,            0.019463,             0.01205,          0.00061807,              0.9961,             0.99857,             0.99405,              0.7292,            0.019333,           0.0089886,          0.00050074,            0.001288,            0.001288,            0.001288
                  90,            0.019806,            0.012045,           0.0007467,             0.99618,             0.99838,             0.99403,             0.72677,            0.019457,           0.0089782,          0.00050072,            0.001189,            0.001189,            0.001189
                  91,            0.019868,            0.011893,          0.00071449,             0.99474,             0.99957,             0.99405,             0.72679,            0.019439,           0.0090364,          0.00050193,             0.00109,             0.00109,             0.00109
                  92,            0.019637,            0.011901,          0.00061768,             0.99468,                   1,             0.99405,             0.72837,            0.019225,           0.0090212,          0.00048907,            0.000991,            0.000991,            0.000991
                  93,            0.019422,            0.011944,          0.00061285,             0.99504,                   1,             0.99408,             0.72269,            0.019517,           0.0089989,          0.00047601,            0.000892,            0.000892,            0.000892
                  94,             0.01962,            0.012083,          0.00067533,             0.99552,             0.99941,             0.99418,             0.72616,            0.019271,           0.0090096,          0.00046105,            0.000793,            0.000793,            0.000793
                  95,            0.019143,             0.01145,          0.00059319,               0.996,              0.9991,             0.99418,             0.72809,            0.019366,           0.0090061,          0.00044686,            0.000694,            0.000694,            0.000694
                  96,            0.019345,             0.01168,          0.00067833,             0.99588,             0.99917,             0.99415,             0.72876,            0.019157,           0.0089785,          0.00044366,            0.000595,            0.000595,            0.000595
                  97,            0.019034,            0.012103,          0.00061924,             0.99583,             0.99915,             0.99411,             0.73028,            0.019323,            0.008998,           0.0004393,            0.000496,            0.000496,            0.000496
                  98,            0.019037,            0.011945,           0.0005084,             0.99516,             0.99943,             0.99411,             0.72985,            0.019224,           0.0090143,            0.000442,            0.000397,            0.000397,            0.000397
                  99,            0.018785,            0.011571,          0.00048661,             0.99505,             0.99942,             0.99412,             0.73274,             0.01924,           0.0090197,          0.00044474,            0.000298,            0.000298,            0.000298
